company_name,jobTitle,location,type,degree,industry,type_work,skills0,skills1,skills2,skills3,skills4,skills5,skills6,skills7,skills8,skills9
Not found,Software Quality Engineer,Lebanon,On-site, ,Financial Services,Full-time,Black Box Testing,Computer Science,Design Documents,Quality Assurance,Software Quality,Technical Design,Test Automation,Test Cases,Test Planning,White Box
Not found,QA Engineer (all,Lebanon,On-site, ,Software Development,Full-time,Compensation,Mobile Testing,Product Quality,Product Requirements,QA Engineering,Quality Assurance,Smoke Testing,Software Testing,Test Automation,Test Cases
Not found,"ICQA Lead, ICQA",Lebanon,On-site, ,Software Development,Full-time,Analytical Skills,Coaching,Front Line Management,Key Performance Indicators,Methodology,Operations,Operations Processes,Quality Assurance Management,Root Cause,Safety Culture
Not found,React Native Developer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Computer Science,Mobile Application Development,Product Delivery,React Native,React.js,Redux.js,Responsive Web Design,Swift (Programming Language),Web Development,iOS
Not found,Full-Stack Engineer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Application Development,Communication,Computer Science,Data Loading,English,Front-End Development,Full-Stack Development,SQL,Software Development,Stack
Not found,Content & Experience,Lebanon,On-site,University Degree,IT Services and IT Consulting,Full-time,Active Directory,Cloud Computing,English,JDeveloper,Java,JavaScript,Linux,SQL,WebCenter,XML
Not found,Junior Web Scrapper,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Automation,Back-End Web Development,Communication,Computer Science,English,Front-End Development,Full-Stack Development,HTML,Performance Dashboards,System Integration Testing
Not found,Full-Stack Front-End-Heavy Developer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Back-End Web Development,Communication,Computer Engineering,Computer Science,English,Firebase,Front-End Development,Full-Stack Development,Problem Solving,Stack
Not found,Mobile Developer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Communication,Computer Science,Mobile Application Development,Mobile Applications,Programming,React Native,React.js,Reactive Programming,TypeScript,iOS
Not found,Full-Stack Front-End-Heavy Developer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Communication,Computer Science,Firebase,Front-End Development,JavaScript,Next.js,Node.js,React Native,Stack,Technical Documentation
Not found,Backend Developer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Back-End Web Development,Communication,Computer Science,Front-End Development,Go (Programming Language),MongoDB,NoSQL,,,
Not found,Data Scientist,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Communication,Computer Science,Data Science,Financial Instruments,Futures,Natural Language Processing (NLP),Operations Research,Optimization,Swaps,Time Series Analysis
Not found,Senior Software Engineer,Lebanon,On-site, ,Financial Services,Full-time,Agile Methodologies,Back-End Web Development,Code Review,Computer Science,Django,Problem Solving,Programming,Python (Programming Language),Software Development,Software Requirements
Not found,Full-Stack Software Engineer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Application Development,Back-End Web Development,Communication,Computer Engineering,Computer Science,Full-Stack Development,JavaScript,Node.js,SQL,Stack
Not found,Senior Telco Consultant,Lebanon,On-site, ,Software Development,Full-time,5G,Customer-Focused Selling,Data Center Architecture,Helm (Software),Helm Charts,Network Protocols,Open Network Automation Platform (ONAP),Project Plans,Subject Matter Experts,Telco
Not found,Cybersecurity Auditor,Lebanon,On-site,degree in Engineering,Software Development,Full-time,Auditing,Automotive SPICE (ASPICE),Computer Science,Cybersecurity,ISO 26262,Model Driven Development,Product Lifecycle Management,Project Management,SysML,Test Management
Not found,"Lead Architect, Trilogy",Lebanon,Hybrid,"A university degree (BS, MS, or PhD) that included an in-depth study of data structures, algorithms, object-oriented programming, computer architecture, and software engineering OR relevant work experience.",IT Services and IT Consulting,Full-time,Agile Methodologies,Amazon Web Services (AWS),C#,Java,SQL,Software Development,Web Services,XML,,
Not found,Mobile Developer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Android,Computer Science,Interpersonal Skills,Mobile Application Development,Problem Solving,React Native,iOS,,,
Not found,Senior Java Developer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Angular CLI,Back-End Web Development,Cascading Style Sheets (CSS),Front-End Development,Java,JavaScript,SDKs,Serverless Computing,Software Development,jQuery
Not found,Senior Kubernetes Engineer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Code Review,Communication,Computer Science,Distributed Systems,JavaScript,Kubernetes,Open Mind,Problem Solving,Service Layer,Technical Advisory
Not found,Customer Experience SOC,Lebanon,On-site, ,Software Development,Full-time,Business Requirements,Client Liaison,Communication,Customer Contact,Customer Experience,English,Financial Justification,General Data Protection Regulation (GDPR),Social Influence,Written Communication
Not found,Senior Azure DevOps,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Azure DevOps Services,Communication,Computer Science,DevOps,High Availability (HA),Kubernetes,Linux System Administration,Microsoft Azure,Terraform,Test Automation
Not found,Inside Sales Representative,Lebanon,On-site, ,Computer and Network Security,Full-time,Communication,Data Analysis,Data Analytics,English,Inside Sales,Interpersonal Skills,Oral Communication,Sales Processes,Salesforce.com,Service Orientation (Social)
Not found,Front-End Engineer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Babel.js,Back-End Web Development,Cascading Style Sheets (CSS),Communication,Computer Science,Figma (Software),Front-End Development,Git,User Interface Design,Webpack
Not found,Software Engineer -,Lebanon,On-site, ,Embedded Software Products,Full-time,Agile Development,Angular,Back-End Web Development,Communication,Computer Science,Programming,Python (Programming Language),,,
Not found,Full Stack Developer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Back-End Web Development,Communication,Computer Science,Front-End Development,Full-Stack Development,Interpersonal Skills,MongoDB,Server Side,Stack,Web Design
Not found,React Developer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Amazon Web Services (AWS),Computer Science,Cookies,Front-End Development,Gitlab,Query Writing,React.js,SASS,TypeScript,Version Control
Not found,C# Developer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,.NET Framework,C (Programming Language),C#,Communication,Computer Science,Multithreading,OpenGL,Procedural Programming,Software Development,WebGL
Not found,Data Engineer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Airflow,Apache Kafka,Application Development,Communication,Computer Science,Data Engineering,ETL Tools,"Extract, Transform, Load (ETL)",Hive,SQL Server Integration Services (SSIS)
Not found,Full-Stack Developer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Back-End Web Development,Cascading Style Sheets (CSS),Communication,Computer Science,Front-End Development,Full-Stack Development,HTML,JavaScript,Next.js,Stack
Not found,Entry Level Services,Lebanon,On-site,"Bachelor’s degree and 0-3 years of experience in software services, or equivalent (defined as: High School Diploma/GED and 3+ years progressive experience in software services).",Software Development,Full-time,Databases,Eclipse,GED,Oracle Database,Quality Assurance,Service-Oriented Architecture (SOA),Software Analysis,Software Solutions,Technical Requirements,jQuery
Not found,FP&A System Analyst,Lebanon,On-site,"Bachelor's degree in finance, accounting, or a related field",Software Development,Full-time,Attention to Detail,Financial Forecasting,Financial Modeling,Financial Planning,Forecasting,Functional Specifications,Implementation Methodology,Infor Enterprise Resource Planning (ERP),Operations Processes,Variance Analysis
Not found,Lead Full-Stack Engineer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Cascading Style Sheets (CSS),Clean Coding,Communication,Computer Science,Data Engineering,Design Review,Full-Stack Development,JavaScript,Stack,TypeScript
Not found,C# Developer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,.NET Framework,C (Programming Language),C#,Computer Engineering,Computer Science,Multithreading,OpenGL,Procedural Programming,Software Development,WebGL
Not found,Senior Systems Engineer,Lebanon,Hybrid, ,Software Development,Full-time,Automation,Bash,Compensation,Go (Programming Language),Operating Systems,Programming,Programming Languages,Python (Programming Language),Security Testing,Systems Engineering
Not found,Vue.js Developer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Agile Environment,Algos,Computer Science,E2E,Front-End Development,GraphQL,Python (Programming Language),Responsive Web Design,TypeScript,Vue.js
Not found,Senior React.JS Developer,Lebanon,On-site, ,Software Development,Full-time,Cascading Style Sheets (CSS),Debugging,Front-End Development,JavaScript,Mocha (JavaScript Framework),Performance Testing,React.js,Redux.js,Software Testing,Webpack
Not found,Mobile Engineer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Android,Computer Science,Mobile Application Design,Mobile Application Development,Mobile Applications,React Native,React.js,Software Development,iOS,iOS Development
Not found,Embedded Software Engineer,Lebanon,On-site, ,Software Development,Full-time,AUTOSAR,Automotive,C (Programming Language),Computer Engineering,Embedded Software,Embedded Systems,Engine Control Unit (ECU),Software Design,Software Development,Universal Asynchronous Receiver/Transmitter (UART)
Not found,Senior Principal Software,Lebanon,On-site,"A university degree (BS, MS, or PhD) that included an in-depth study of data structures, algorithms, object-oriented programming, computer architecture, and software engineering OR relevant work experience.",IT Services and IT Consulting,Full-time,Agile Methodologies,Amazon Web Services (AWS),C#,Java,SQL,Software Development,Web Services,XML,,
Not found,"Technical Team Lead,",Lebanon,On-site,"A university degree (BS, MS, or PhD) that included an in-depth study of data structures, algorithms, object-oriented programming, computer architecture, and software engineering OR relevant work experience.",IT Services and IT Consulting,Full-time,Agile Methodologies,Amazon Web Services (AWS),C#,Java,SQL,Software Development,Web Services,XML,,
Not found,SDET Lead Engineer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Communication,Computer Science,Localization Testing,Quality Assurance,Software Testing,Test Cases,Test Planning,Workload Prioritization,,
Not found,Software Development Engineer,Lebanon,Hybrid,degree in Computer Science,Software Development,Full-time,C (Programming Language),Circuit Simulators,Code Review,Computer Engineering,Mathematics,Presentation Skills,Presentations,Problem Solving,Programming,Software Development
Not found,NetSuite Developer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Computer Science,Computerized System Validation (CSV),Dashboards,Grit,Interpersonal Communication,JavaScript,Mineral Crushing,NetSuite,Problem Solving,TypeScript
Not found,Content Writer,Lebanon,On-site, ,IT Services and IT Consulting,Full-time,Blogging,Content Development,Content Management,Engaging Content,Keyword Research,Product Descriptions,Search Engine Optimization (SEO),Target Audience,Web Content Creation,Web Content Writing
Not found,Word Press CMS,Lebanon,Hybrid, ,Software Development,Not found,CQ5,Clean Coding,Content Management,Content Management Systems (CMS),Doctrine (PHP),Drupal,Git,Management Systems,Quality Assurance,React.js
Not found,Senior Salesforce Marketing,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Angular,Cloud Computing,Cloud Marketing,Communication,Computer Science,English,Presentations,Python (Programming Language),Salesforce.com Development,Software Development
Not found,DevOps Engineer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Attention to Detail,Communication,Computer Science,Data Scraping,DevOps,Multivariate Testing,Python (Programming Language),Software Development,Technical Documentation,Test Automation
Not found,Lead Full-Stack Engineer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Back-End Web Development,Cascading Style Sheets (CSS),Computer Science,English,Front-End Development,Full-Stack Development,HTML,High Availability (HA),JavaScript,Stack
Not found,Senior Mobile React,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Android,Android Development,Communication,English,React Native,SASS,Sprint Planning,Tailwind CSS,TypeScript,iOS
Not found,Product Analyst,Lebanon,Hybrid,degree in Business,Software Development,Full-time,Analytical Skills,Analytics,Communication,Dashboards,Data Analytics,Key Performance Indicators,Marketing Analytics,Presentations,Product Analysis,Statistical Analysis
Not found,Junior Software Developer,Lebanon,Hybrid, ,Staffing and Recruiting,Full-time,.NET Core,Application Programming Interfaces (API),AutoCAD,Cascading Style Sheets (CSS),JavaScript,Model-view-viewmodel (MVVM),Node.js,Revit,Software Development,Windows Presentation Foundation (WPF)
Not found,Back-end developer,Lebanon,On-site, ,Staffing and Recruiting,Full-time,Back-End Web Development,Data Models,Database Queries,Databases,Digital Authentication,NestJS,Object-Relational Mapping (ORM),REST APIs,Technical Specs,TypeScript
Not found,Software Engineer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Analytical Skills,Communication,Computer Science,Problem Solving,Programming,,,,,
Not found,Full-Stack Front-End-Heavy Engineer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Cascading Style Sheets (CSS),Communication,Computer Science,Front-End Development,GraphQL,HTML,JavaScript,Redux.js,Stack,TypeScript
Not found,Full-Stack Sitecore Engineer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Angular,Application Programming Interfaces (API),Back-End Web Development,C (Programming Language),Computer Science,Growth Strategies,Microservices,Sitecore,Stack,Vue.js
Not found,Associate Application Engineer,Lebanon,On-site, ,Software Development,Full-time,C (Programming Language),Communication,Computer Engineering,Computer Science,Digital Circuit Design,Digital Designs,Electronic Circuits,Software Development,Technical Support,
Not found,Customer Service Advisor,Lebanon,On-site, ,Software Development,Full-time,Active Listening,Communication,Contact Centers,Customer Satisfaction,Customer Support,Customer-Focused Service,English,German,Phone Etiquette,Written Communication
Not found,Junior Flutter Developer,Lebanon,Hybrid,degree in Computer Science,Staffing and Recruiting,Full-time,Attention to Detail,Cascading Style Sheets (CSS),English,Front-End Development,HTML,JavaScript,Language Skills,REST APIs,Representational State Transfer (REST),Technical Documentation
Not found,AI Engineer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Artificial Intelligence (AI),Attention to Detail,Communication,Computer Science,Computer Vision,Data Science,Deep Learning,Natural Language Processing (NLP),Pattern Recognition,Problem Solving
Not found,Front-End Developer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Angular,Communication,Computer Science,Front-End Development,React.js,Responsive Web Design,TypeScript,,,
Not found,Senior Site Reliability,Lebanon,Hybrid, ,IT Services and IT Consulting,Full-time,Automation,Capacity Planning,Communication,Computer Science,Demand Forecasting,DevOps,Go (Programming Language),Reliability,Reliability Engineering,Site Reliability Engineering
Not found,Data Acquisition Engineer,Lebanon,On-site, ,Software Development,Full-time,Communication,Computer Science,Data Engineering,Data Science,Data Warehousing,Databases,"Extract, Transform, Load (ETL)",,,
Not found,Full-Stack Developer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Computer Science,Django,Flask,JavaScript,Problem Solving,Python (Programming Language),SQL,Server Side,Software Development,User Interaction
Not found,"Vendor Consultant, Italian,",Lebanon,On-site,"Bachelor degree in any domain is preferred, minimum Baccalaureate diploma is mandatory.",Software Development,Full-time,Active Listening,Business Reviews,Communication,Data Analysis,Italian,Negotiation,Post-Sales,Presentation Skills,Presentations,Vendor Management
Not found,"Vendor Consultant, Spanish,",Lebanon,On-site,"Bachelor degree in any domain is preferred, minimum Baccalaureate diploma is mandatory;",Software Development,Full-time,Account Management,Active Listening,Business Reviews,Communication,Data Analysis,Data Analytics,Post-Sales,Presentation Skills,Presentations,Vendor Management
Not found,"Vendor Consultant, Spanish,",Lebanon,Hybrid,"Bachelor degree in any domain is preferred, minimum Baccalaureate diploma is mandatory;",Software Development,Full-time,Account Management,Active Listening,Business Reviews,Communication,Data Analysis,Data Analytics,Post-Sales,Presentation Skills,Presentations,Vendor Management
Not found,"Lead Architect, Trilogy",Lebanon,Hybrid,"A university degree (BS, MS, or PhD) that included an in-depth study of data structures, algorithms, object-oriented programming, computer architecture, and software engineering OR relevant work experience.",IT Services and IT Consulting,Full-time,Agile Methodologies,Amazon Web Services (AWS),C#,Java,SQL,Software Development,Web Services,XML,,
Not found,Ruby Engineer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Communication,Computer Science,English,Git,JavaScript,Linux,Ruby,SQL,Server Side,Version Control
Not found,"Lead Software Architect,",Lebanon,Hybrid, ,IT Services and IT Consulting,Full-time,AWS CloudFormation,Customer Demos,Demos,Interfaces,Multi-Tenant Management,Software Architecture,Software Design,Stack,Terraform,User Interface Design
Not found,"Lead Architect, Trilogy",Lebanon,Hybrid,"A university degree (BS, MS, or PhD) that included an in-depth study of data structures, algorithms, object-oriented programming, computer architecture, and software engineering OR relevant work experience.",IT Services and IT Consulting,Full-time,Agile Methodologies,Amazon Web Services (AWS),C#,Java,SQL,Software Development,Web Services,XML,,
Not found,Back-end Developer,Lebanon,On-site,degree in Computer Science,Staffing and Recruiting,Full-time,Analytical Skills,Attention to Detail,Back-End Web Development,Cascading Style Sheets (CSS),English,Front-End Development,HTML,Java,JavaScript,Technical Documentation
Not found,Junior Customer Advisor,Lebanon,On-site,"Relevant Masters’ degree with strong academic results. Candidates with a Bachelor degree, combined with extensive experience in the relevant field will also be considered.",Software Development,Full-time,Application Rationalisation,Business Case Preparation,Client Liaison,Customer Contact,Customer Experience,Customer Satisfaction,Easily Adaptable,Interpersonal Skills,,
Not found,"Lead Architect, Trilogy",Lebanon,Hybrid,"A university degree (BS, MS, or PhD) that included an in-depth study of data structures, algorithms, object-oriented programming, computer architecture, and software engineering OR relevant work experience.",IT Services and IT Consulting,Full-time,Agile Methodologies,Amazon Web Services (AWS),C#,Java,SQL,Software Development,Web Services,XML,,
Not found,Full-Stack Engineer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Application Programming Interfaces (API),Back-End Web Development,Computer Science,Front-End Development,Problem Solving,Redux.js,Ruby,Ruby on Rails,Stack,TypeScript
Not found,Front-End Engineer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Back-End Web Development,Cascading Style Sheets (CSS),Computer Science,Front-End Development,Markup Languages,Shopify,Technical Documentation,User Experience (UX),User Interface Design,Web Pages
Not found,Test Automation Specialist,Lebanon,On-site,"A bachelor degree computer science , electrical engineering or comparable qualification.",Not found,Full-time,Analytical Skills,Computer Science,Continuous Integration (CI),Electrical Engineering,Engineering,Gitlab,Jenkins,Skill Development,Test Automation,Working Experience
Not found,Oracle SCM Consultant,Lebanon,Hybrid,degree in Business,Staffing and Recruiting,Full-time,E-business,Implementation Methodology,Oracle Database,Oracle Fusion Applications (OFA),Oracle Fusion Middleware,Oracle SCM,Re-engineering,Requirements Gathering,Software Configuration Management,Supply Chain Management
Not found,DevOps Engineer,Lebanon,On-site,degree in Computer Science,"Technology, Information and Internet",Full-time,Attention to Detail,Back-End Web Development,Communication,Computer Science,Continuous Integration (CI),Database Systems,DevOps,Problem Solving,Software Development,Test Automation
Not found,Senior Front-End Developer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Back-End Web Development,Computer Science,Front-End Development,JavaScript,Node.js,Responsive Web Design,TypeScript,User Experience (UX),User Interface Design,Web Architecture
Not found,Senior Python Developer,Lebanon,On-site, ,IT Services and IT Consulting,Full-time,Cascading Style Sheets (CSS),Django,Front-End Development,HTML5,High Performance Computing (HPC),JavaScript,Mercurial,Object-Relational Mapping (ORM),Python (Programming Language),Server Side
Not found,Back-End Developer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Back-End Web Development,Communication,Computer Engineering,Computer Science,Databases,Firebase,Google Cloud Platform (GCP),JavaScript,Node.js,Oral Communication
Not found,Front-End Engineer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Adaptive Design,Back-End Web Development,Code Review,Computer Science,Front-End Development,Server Side,TypeScript,User Interface Design,Vue.js,Web Development
Not found,SDET Back-End Automation,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Back-End Web Development,Behavior-Driven Development (BDD),Computer Science,Cucumber,Kotlin,Quality Assurance,Software Testing,Spock Framework,Test Automation,Test Cases
Not found,Front-End Engineer,Lebanon,On-site,degree in Computer Science,IT Services and IT Consulting,Full-time,Communication,Computer Science,Front-End Development,Interpersonal Communication,JavaScript,SAP Fiori,SASS,Software Development,User Experience (UX),User Interface Design
Not found,WordPress developer,Lebanon,Hybrid, ,IT Services and IT Consulting,"EGP72,000/yr - EGP144,000/yr",Back-End Web Development,Computer Science,Data Architecture,Data Modeling,Database Design,Databases,Doctrine (PHP),Responsive Web Design,Web Technologies,WordPress
Not found,Software Engineer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Communication,Computer Science,Interfaces,JavaScript,Optimization,Problem Solving,Programming,Software Development,Technical Design,User Interface Design
Not found,Product Manager,Lebanon,On-site, ,IT Services and IT Consulting,Full-time,Customer Experience Management,New Product Ideas,Presentation Skills,Presentations,Problem Solving,Product Management,Product Road Mapping,Product Vision,Teamwork,User Requirements
Not found,Senior Full-Stack Engineer,Lebanon,Hybrid,degree in Computer Science,IT Services and IT Consulting,Full-time,Back-End Web Development,Communication,Computer Science,English,Front-End Development,Full-Stack Development,Magento,Server Side,Software Development,Stack
